id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
26,Vang Elementary School,Illinois,Public,Middle,15223.64,44.3,18.7,34.7,39.8,54.5,6.0
27,Johnson High School,Texas,Public,High,21981.75,42.5,25.4,93.7,49.8,59.2,9.78
28,West Middle School,Georgia,Private,High,10043.98,40.0,13.1,91.4,23.7,68.5,8.6
29,Gray Elementary School,Georgia,Private,High,12912.16,40.0,24.4,60.9,33.0,61.8,9.23
30,Gonzales Elementary School,Texas,Public,Middle,23559.56,68.6,17.4,37.8,27.1,87.4,1.7
31,Reed High School,New York,Charter,Middle,15304.77,64.2,21.2,10.8,32.4,76.7,2.09
32,Rodriguez High School,Pennsylvania,Public,High,7989.19,41.5,14.4,57.9,87.3,89.4,5.41
33,Wilson High School,Georgia,Charter,High,19374.92,43.6,19.2,82.5,30.7,65.3,8.56
34,Barker Middle School,North Carolina,Private,Elementary,18227.52,44.4,22.0,27.1,73.9,56.3,7.56
35,Sanchez Elementary School,Illinois,Private,Elementary,14938.49,41.1,28.7,90.7,60.1,89.3,9.52
36,Mendoza High School,Illinois,Public,High,13059.74,52.9,14.8,80.5,44.7,93.2,4.68
37,Chambers Elementary School,Georgia,Public,Elementary,17312.81,53.5,11.2,61.9,69.5,79.8,5.43
38,Anderson Middle School,California,Charter,Elementary,9326.02,40.0,16.7,74.3,49.5,67.5,7.85
39,Wallace Middle School,North Carolina,Charter,Middle,19531.96,51.7,26.0,28.1,19.7,74.8,5.16
40,Morales Middle School,Georgia,Private,Middle,10648.17,40.0,19.5,93.6,10.2,65.8,10.82
41,Rodriguez High School,Pennsylvania,Private,High,19522.7,54.9,12.0,91.1,12.1,73.1,4.99
42,Harrington Middle School,California,Public,Elementary,8089.92,40.0,27.5,60.7,39.3,57.8,11.53
43,Moore Middle School,Georgia,Charter,Middle,8623.83,40.0,13.1,93.6,19.8,67.6,9.58
44,Nelson High School,California,Charter,High,9240.59,52.1,14.7,34.6,84.0,97.0,1.6
45,Zamora High School,Pennsylvania,Private,High,5025.47,40.0,17.9,54.8,31.3,67.2,5.96
46,Stevenson Middle School,California,Charter,High,14815.59,64.2,12.5,14.4,92.1,99.0,0.5
47,Bruce High School,Georgia,Charter,Elementary,7032.22,40.0,22.0,87.8,9.4,71.3,8.84
48,Wilson Elementary School,Ohio,Public,Elementary,11139.07,41.8,19.6,66.3,15.1,72.4,7.75
49,Lang Elementary School,California,Private,Elementary,21910.63,60.8,20.4,25.7,64.5,70.0,2.2
50,Davis Elementary School,Florida,Charter,Middle,8712.23,40.0,28.5,54.1,78.7,80.1,9.12
51,Young Middle School,Michigan,Private,Middle,10993.24,40.0,17.0,61.3,17.9,57.3,6.44
52,Harris Elementary School,Ohio,Private,Middle,23247.72,64.5,16.2,12.1,64.6,60.8,1.73
53,Anderson Middle School,North Carolina,Public,Middle,18681.54,48.2,10.0,87.7,25.6,79.9,5.85
54,Pearson High School,California,Private,Middle,12555.39,40.0,28.7,79.1,50.4,76.2,13.39
55,Petersen Middle School,New York,Private,High,21626.14,54.1,18.1,81.7,50.7,90.9,4.02
56,Mann Elementary School,Texas,Private,Middle,7857.37,40.0,16.0,83.1,93.0,54.0,13.07
57,Vincent High School,Florida,Private,Elementary,8653.6,40.0,17.2,33.1,69.6,54.9,7.17
58,Campbell Elementary School,Pennsylvania,Charter,Middle,17500.22,63.4,13.8,43.5,93.5,88.6,2.4
59,Dickerson Middle School,Ohio,Public,Middle,7090.83,40.0,12.3,79.1,73.7,63.9,9.01
60,Williamson Middle School,Florida,Charter,High,18628.55,53.5,13.6,72.5,83.8,73.3,7.05
61,King Elementary School,Illinois,Public,Elementary,11599.39,40.0,15.1,89.1,17.7,61.9,9.13
62,Contreras Elementary School,Pennsylvania,Private,Middle,15336.22,47.5,12.6,69.2,35.4,72.5,7.5
63,Schwartz Middle School,Illinois,Charter,Middle,9241.06,40.0,17.9,71.5,86.0,70.9,8.38
64,Lynch High School,Illinois,Charter,Elementary,15056.81,64.1,14.7,20.4,20.0,88.9,0.5
65,Martin Middle School,North Carolina,Charter,Elementary,23787.56,62.6,18.4,40.8,94.8,77.9,3.02
66,Rowe High School,New York,Private,High,9839.32,48.4,16.0,55.9,22.4,80.0,4.2
67,Parker Elementary School,Ohio,Charter,Elementary,13670.08,46.0,29.4,45.6,28.8,92.9,3.93
68,Dean Middle School,Georgia,Charter,High,10475.16,51.1,10.2,59.4,46.8,97.4,2.43
69,Hamilton Middle School,Texas,Private,Middle,6940.05,40.0,23.3,56.2,29.6,67.2,9.76
70,Wilson Elementary School,Florida,Public,Elementary,9927.3,49.0,26.9,12.3,49.9,94.9,1.88
71,Ward High School,Ohio,Private,Elementary,8114.34,40.0,27.3,28.6,41.3,53.0,8.04
72,Mann Elementary School,North Carolina,Public,High,6576.76,40.0,19.3,59.5,35.1,86.9,4.29
73,Anderson Middle School,Pennsylvania,Charter,Middle,7681.0,40.6,11.1,60.3,25.3,79.2,4.29
74,Howard Elementary School,Illinois,Private,High,15499.02,55.6,12.0,88.6,22.4,95.7,1.9
75,Powell High School,Illinois,Private,Elementary,8211.36,41.6,20.6,34.9,41.9,72.5,4.25
76,Boyd Elementary School,Michigan,Public,High,12311.0,43.5,20.7,27.6,81.7,57.0,7.2
77,Rios High School,Georgia,Public,Elementary,13331.98,41.8,24.3,48.2,11.6,69.7,8.38
78,Garcia High School,Pennsylvania,Private,High,24602.03,58.7,13.5,71.2,71.6,73.5,8.98
79,Scott Elementary School,North Carolina,Public,Elementary,19298.9,65.6,15.1,19.7,16.9,75.5,0.5
80,Moore High School,Pennsylvania,Private,High,19502.61,60.8,20.3,39.4,35.8,96.4,2.93
81,Warren High School,Georgia,Public,Middle,20087.92,46.5,16.0,76.4,39.2,50.4,9.7
82,Mendoza High School,California,Public,Middle,6934.67,40.0,28.7,93.3,14.0,98.4,8.46
83,Mcdonald High School,Illinois,Public,High,23377.05,67.2,19.1,23.1,37.4,90.5,0.5
84,Richardson Middle School,North Carolina,Private,Middle,22787.89,59.1,10.2,80.6,37.2,82.8,4.12
85,Henry Middle School,North Carolina,Private,Elementary,19248.09,40.0,25.8,75.3,11.0,66.4,9.9
86,Nichols High School,Michigan,Charter,Middle,13328.58,62.7,10.3,18.3,46.3,87.2,0.5
87,Porter High School,Georgia,Private,High,17792.38,44.3,27.9,76.0,92.2,97.5,6.64
88,Reynolds Elementary School,Texas,Private,Elementary,23875.89,64.8,14.6,30.9,83.5,78.9,0.5
89,Ross Middle School,Illinois,Charter,Elementary,21258.7,52.9,11.5,82.4,61.7,64.9,8.13
90,Johnson Middle School,Illinois,Charter,High,12828.81,40.0,27.2,71.2,82.2,56.8,11.77
91,Tran Elementary School,Georgia,Private,Elementary,22304.35,65.0,11.8,31.8,9.1,59.9,0.88
92,Thompson High School,Pennsylvania,Private,Middle,21671.06,65.8,16.6,13.1,18.0,75.1,0.5
93,Floyd Middle School,Michigan,Charter,High,9254.95,53.1,16.0,19.9,9.8,90.4,0.6
94,Ellis Elementary School,Illinois,Private,High,13014.56,47.3,16.2,82.8,60.7,97.5,5.82
95,Clark Elementary School,Illinois,Charter,High,22655.31,52.0,26.4,11.1,82.8,75.4,3.3
96,Porter Middle School,North Carolina,Charter,Middle,15320.99,40.0,12.9,80.4,80.1,63.5,10.74
97,Barnes High School,New York,Public,Elementary,9815.54,40.0,23.8,66.9,21.4,67.9,10.65
98,Rhodes High School,Pennsylvania,Public,Elementary,7179.17,40.0,26.9,75.2,23.3,87.0,8.76
99,Jackson High School,Michigan,Public,Elementary,10909.43,54.0,21.9,24.7,43.5,95.9,2.41
100,Richardson Elementary School,New York,Charter,High,18018.42,65.1,10.1,26.5,11.2,92.9,0.5
101,Robinson High School,California,Public,Middle,21416.89,53.8,18.9,54.6,63.4,77.0,6.69
102,Cardenas Middle School,Pennsylvania,Public,High,22558.79,72.5,10.7,49.6,22.6,86.1,0.5
103,Anderson High School,Pennsylvania,Charter,Elementary,21093.21,47.5,10.4,94.5,76.1,66.3,9.5
104,Castro Middle School,Georgia,Public,Elementary,10283.84,40.5,18.7,47.7,50.7,57.6,8.38
105,Perez Middle School,Florida,Public,High,8959.61,40.0,27.4,47.1,14.5,74.5,5.77
106,Dougherty High School,Florida,Private,Middle,14311.95,50.5,22.4,16.1,66.3,77.8,4.1
107,Allen High School,California,Charter,High,21306.52,53.5,20.2,59.3,60.5,89.2,3.09
108,Parker Elementary School,Michigan,Charter,Middle,6850.98,40.0,26.1,14.4,90.0,59.4,6.28
109,Davis High School,North Carolina,Private,Elementary,20832.55,66.6,21.1,23.5,64.7,91.8,2.12
110,Matthews High School,Pennsylvania,Charter,Middle,7203.75,40.0,22.2,65.0,49.4,58.6,10.78
111,Serrano Elementary School,Florida,Public,Middle,24516.83,56.7,11.0,85.7,63.4,65.9,8.85
112,King Elementary School,New York,Public,Middle,15111.72,43.0,25.9,35.5,25.5,55.5,7.35
113,Sandoval High School,Texas,Public,Elementary,21290.9,50.1,24.2,19.3,61.0,57.3,4.48
114,Mack Middle School,North Carolina,Charter,Middle,23726.88,60.7,14.1,36.1,35.0,79.2,1.13
115,White High School,Michigan,Charter,High,20476.62,59.4,14.3,70.9,52.8,92.3,3.54
116,Campbell High School,Michigan,Charter,High,23693.55,56.6,15.8,86.4,46.1,88.9,5.54
117,Williams Elementary School,Pennsylvania,Private,Elementary,17265.5,59.8,22.8,25.2,83.8,99.9,2.64
118,Lewis High School,California,Public,Middle,8966.89,47.1,13.7,40.8,92.6,87.4,2.98
119,Joseph Elementary School,Georgia,Public,High,23643.31,57.4,22.5,41.8,94.6,58.1,7.61
120,Romero High School,Texas,Private,Middle,8508.05,40.0,18.6,49.5,14.2,69.1,4.87
121,Acosta Elementary School,Georgia,Charter,High,22585.27,40.0,22.3,68.2,82.0,50.8,12.02
122,Miller High School,North Carolina,Charter,High,13726.37,52.1,12.6,47.3,21.4,72.2,3.3
123,Roth High School,Ohio,Public,Elementary,13895.47,44.4,21.3,35.7,84.8,66.1,5.86
124,Hardy High School,California,Public,Middle,24831.12,56.1,17.4,81.2,80.7,63.3,8.36
125,Salinas High School,Florida,Public,High,22279.35,59.6,16.1,58.7,58.7,72.7,4.64
126,Lawrence High School,Ohio,Private,Elementary,23941.09,48.6,28.1,56.5,26.8,52.8,9.21
127,Dennis Elementary School,Pennsylvania,Private,Middle,8738.09,40.0,24.9,93.7,39.8,69.5,13.45
128,Martin High School,Illinois,Public,High,8058.53,40.0,16.5,41.7,56.6,53.2,7.33
129,Bennett High School,North Carolina,Public,High,23776.86,52.6,20.4,45.4,11.0,55.3,5.85
130,Reid High School,Florida,Charter,Elementary,24278.72,62.0,12.4,33.1,56.4,72.6,0.5
131,Cunningham Elementary School,Texas,Private,Middle,21151.04,50.0,20.3,77.4,94.0,87.1,6.35
132,Collier Middle School,Ohio,Charter,High,8188.12,40.0,29.4,62.2,6.1,84.1,7.25
133,Wood Middle School,Pennsylvania,Charter,High,17062.45,40.0,23.0,77.9,21.1,50.4,10.39
134,Estes Middle School,New York,Charter,Middle,15863.7,41.7,14.9,63.9,80.4,58.3,10.36
135,Gregory Middle School,Texas,Private,High,21222.37,63.0,15.2,11.7,28.7,84.1,0.5
136,Mcknight Middle School,Texas,Public,Middle,8611.18,40.0,25.8,88.2,75.8,96.2,10.66
137,Rhodes High School,Georgia,Public,Elementary,22326.19,49.3,25.1,81.6,19.0,70.2,9.05
138,Anderson Middle School,Ohio,Charter,Elementary,15356.64,42.6,26.2,86.7,28.0,76.9,9.83
139,Bridges Middle School,California,Charter,High,6458.54,40.0,18.1,86.2,79.2,64.9,10.5
140,Kim High School,Ohio,Private,Elementary,11620.99,57.0,25.3,55.5,68.8,98.9,4.29
141,Fisher Elementary School,Michigan,Public,Elementary,22278.46,51.8,22.2,39.9,59.0,53.4,9.35
142,Williams Middle School,New York,Private,Elementary,20737.9,41.3,15.1,86.8,94.1,63.2,7.61
143,Martin Middle School,North Carolina,Private,Elementary,17928.65,40.0,26.1,36.3,19.6,56.0,5.51
144,Garcia Elementary School,Georgia,Private,Middle,19652.98,48.9,21.0,59.1,62.2,66.1,7.02
145,Summers Elementary School,Florida,Public,Middle,17131.1,45.9,12.4,84.1,47.6,76.5,6.94
146,Foster Elementary School,Florida,Charter,Middle,14572.64,40.0,15.5,78.9,58.9,56.9,10.73
147,Sandoval Elementary School,Michigan,Private,Elementary,24309.49,50.7,19.9,80.9,70.5,76.6,8.7
148,Sanders Middle School,California,Public,Elementary,7146.62,40.0,22.6,82.3,32.4,95.9,6.7
149,Cooper High School,Pennsylvania,Charter,Middle,19270.47,56.5,10.5,90.9,50.4,78.7,7.08
150,Cunningham High School,Florida,Private,High,12573.85,40.0,29.5,45.4,69.1,72.5,9.9
151,Lara Elementary School,Michigan,Private,Middle,9205.86,40.2,29.3,45.0,35.5,90.1,6.36
152,Newman High School,Illinois,Charter,Middle,23583.79,40.9,24.5,72.0,50.6,53.3,12.41
153,Friedman Middle School,California,Charter,High,18367.64,40.0,25.6,71.0,72.6,60.9,11.49
154,Ramos Middle School,Florida,Private,High,5445.04,40.0,18.4,58.1,41.4,65.1,6.97
155,Miller Elementary School,California,Public,High,17055.54,49.0,23.6,74.2,82.7,99.4,7.3
156,Wells High School,Florida,Charter,Elementary,24789.13,77.3,17.3,51.4,15.0,99.5,0.5
157,Carr Middle School,North Carolina,Public,Middle,23950.2,71.2,11.2,27.4,80.8,89.0,0.5
158,Richmond Middle School,California,Charter,High,14361.85,49.6,16.2,93.3,88.8,96.5,8.63
159,Hernandez High School,Pennsylvania,Public,Middle,20297.82,58.4,24.8,25.0,78.0,95.0,0.5
160,Williams High School,Ohio,Charter,Middle,9745.76,40.0,10.7,74.7,44.4,56.7,6.63
161,Vaughan Middle School,Georgia,Public,Middle,11671.8,40.0,29.8,77.7,13.8,94.5,6.58
162,White Elementary School,Pennsylvania,Private,High,19901.98,52.4,19.5,83.1,36.1,97.0,4.9
163,Kim Middle School,Ohio,Charter,Elementary,22207.53,65.4,14.9,70.8,63.5,80.7,4.0
164,Benton Elementary School,Florida,Charter,Elementary,9819.27,47.2,23.2,16.4,92.9,99.8,0.5
165,Smith Middle School,Georgia,Public,Elementary,14711.34,64.8,11.4,25.0,71.8,94.2,0.5
166,Smith Elementary School,Illinois,Charter,Elementary,19639.17,43.5,20.0,53.2,47.7,55.8,7.25
167,James Elementary School,North Carolina,Private,Middle,16003.49,40.0,27.3,66.6,83.7,56.9,14.72
168,Griffin High School,Georgia,Public,Elementary,22878.6,63.3,14.5,48.8,29.5,74.5,4.78
169,Mason Elementary School,North Carolina,Public,Elementary,11847.26,40.0,16.5,69.4,89.2,50.1,10.13
170,Clark High School,Texas,Charter,High,15464.38,63.7,12.2,21.6,41.8,93.7,0.5
171,Baker Middle School,California,Private,Middle,15304.36,47.9,28.3,34.1,36.1,88.6,3.08
172,Murphy Elementary School,California,Charter,High,24586.36,68.4,26.4,25.2,34.0,94.1,0.5
173,Copeland Elementary School,Pennsylvania,Public,High,11524.75,40.0,23.9,50.0,73.7,74.7,7.64
174,Valencia High School,Florida,Private,Elementary,17027.39,52.0,28.5,32.2,17.9,98.8,1.36
175,Willis High School,California,Charter,Elementary,24312.09,64.1,15.4,34.0,86.1,95.7,0.5
176,Montgomery High School,North Carolina,Private,Middle,12007.89,40.0,26.0,26.3,68.9,58.0,5.96
177,Wang Elementary School,Georgia,Public,Elementary,21233.23,67.1,16.6,22.0,69.9,73.1,0.54
178,Gardner Middle School,Georgia,Private,Elementary,22529.03,50.7,25.6,36.7,65.4,57.9,7.68
179,Keller Middle School,Michigan,Public,Elementary,11432.46,40.0,18.4,78.0,65.2,66.1,10.05
180,Reese Middle School,North Carolina,Private,Elementary,20022.97,56.7,20.0,41.0,67.3,78.3,4.63
181,Ali Elementary School,Michigan,Public,Elementary,14364.22,44.8,16.9,93.4,7.9,63.9,7.56
182,Flores High School,New York,Public,Elementary,11239.13,40.0,28.4,79.5,26.7,54.6,13.14
183,Davidson Elementary School,North Carolina,Charter,Elementary,19037.35,46.2,22.4,74.0,46.1,77.7,6.98
184,Chung Middle School,Ohio,Charter,High,10080.98,47.4,28.1,14.1,19.5,70.0,5.16
185,Fleming Elementary School,Georgia,Charter,High,13012.56,54.2,18.8,28.6,58.4,85.9,2.2
186,Howard Elementary School,Texas,Private,Middle,9283.35,48.0,28.3,20.1,55.2,79.6,2.96
187,Mcneil Middle School,Georgia,Charter,Elementary,18360.27,43.8,17.1,90.5,12.0,58.5,9.29
188,Riggs Middle School,California,Private,High,9145.94,40.0,21.4,85.4,74.3,81.2,9.92
189,Rivera Middle School,Georgia,Public,Elementary,19936.86,40.0,29.7,90.7,38.3,82.7,11.43
190,Hansen Middle School,New York,Charter,High,15596.42,54.9,15.1,83.5,25.5,81.4,5.41
191,Johnson Elementary School,Michigan,Private,High,19153.5,63.9,23.5,23.2,82.2,85.5,4.1
192,Harris Middle School,Texas,Public,High,21107.26,50.8,19.7,86.5,68.0,87.3,8.62
193,Moreno Middle School,California,Charter,Elementary,24558.03,53.2,16.7,92.0,62.3,79.9,7.33
194,Hughes Elementary School,Florida,Charter,Elementary,5940.64,49.3,13.7,53.4,39.4,87.1,4.06
195,Rodriguez High School,Florida,Public,Elementary,23919.94,48.2,28.3,19.3,36.7,50.7,9.37
196,Whitaker High School,Georgia,Public,High,11915.53,40.0,29.9,55.9,60.4,79.1,11.1
197,Peterson Elementary School,Florida,Public,Middle,17941.97,54.5,20.7,19.0,54.1,60.9,2.73
198,Herrera Middle School,Illinois,Public,Elementary,16233.73,44.5,26.4,40.4,43.4,71.2,5.69
199,Morris Middle School,North Carolina,Private,Middle,14673.39,46.9,11.9,59.1,82.0,69.1,7.93
200,Rodriguez Middle School,Georgia,Public,Middle,24699.08,59.0,17.4,65.5,49.0,79.1,3.62
201,Morris High School,Texas,Private,High,24394.93,66.5,19.0,23.3,80.1,81.6,0.5
202,Jennings Elementary School,North Carolina,Public,Middle,8665.12,40.0,23.8,90.7,92.7,61.1,12.18
203,Howell Elementary School,Ohio,Private,Middle,23743.27,49.3,28.0,46.7,19.3,52.3,9.06
204,Robles Elementary School,Georgia,Charter,High,18992.39,61.7,28.3,22.0,8.6,90.1,1.29
205,Hanson High School,Florida,Private,High,24125.34,47.1,20.5,71.3,9.7,69.9,6.52
206,Kidd Elementary School,Illinois,Private,High,9904.18,40.0,19.1,81.0,66.2,67.2,9.09
207,Collins High School,Texas,Public,High,11235.08,41.2,24.3,29.1,85.4,83.0,4.62
208,Freeman High School,California,Charter,High,6769.82,40.0,13.7,21.9,34.4,64.2,2.7
209,Taylor Elementary School,Texas,Private,Elementary,7955.0,40.0,15.1,66.7,9.0,78.5,8.42
210,Hernandez Middle School,Texas,Charter,Elementary,5077.03,40.0,15.4,70.6,50.7,67.8,8.32
211,Vance High School,Florida,Charter,Elementary,14544.25,46.0,20.9,64.1,17.3,64.4,8.68
212,Johnson High School,North Carolina,Private,High,22721.18,58.8,16.6,35.1,22.7,77.7,1.35
213,Smith Middle School,Illinois,Public,Middle,5908.09,40.0,25.3,89.1,24.4,56.6,11.79
214,Jones Elementary School,Florida,Private,Elementary,18000.5,53.0,10.5,80.4,68.1,89.6,3.78
215,Jackson Elementary School,Georgia,Charter,Middle,21737.44,58.8,12.3,77.6,37.3,88.0,0.55
216,Jones High School,Michigan,Charter,Middle,20653.06,55.6,11.6,55.3,51.2,51.5,4.41
217,Brown Middle School,New York,Private,High,12785.11,47.1,12.9,74.1,54.2,76.6,4.05
218,Salinas Elementary School,California,Private,High,16918.75,61.9,30.0,22.8,42.0,99.5,0.5
219,Gentry Middle School,Florida,Charter,Middle,24210.69,57.9,14.9,45.7,93.3,67.6,3.52
220,Murphy Elementary School,Florida,Public,Elementary,14601.12,40.0,18.2,71.7,70.1,69.7,10.4
221,Padilla Elementary School,Illinois,Public,Middle,12860.85,41.3,16.6,70.0,83.3,77.1,7.69
222,Gomez High School,Illinois,Private,Elementary,17205.66,55.1,14.9,64.0,21.0,81.1,5.45
223,Johnson High School,Michigan,Private,Elementary,22953.03,58.9,25.4,57.6,33.8,90.1,4.96
224,Atkinson High School,Michigan,Charter,High,9293.73,40.0,10.5,94.9,22.7,81.1,7.98
225,Whitehead High School,Texas,Charter,Middle,10283.75,44.1,19.5,44.9,55.1,78.9,4.21
226,Morgan Elementary School,Illinois,Public,Elementary,23849.9,53.8,27.2,63.7,32.1,75.6,7.87
227,Griffin High School,Illinois,Public,Middle,12601.78,50.6,19.1,90.8,48.5,84.1,8.46
228,Parker Elementary School,North Carolina,Charter,Middle,7991.43,59.4,12.2,14.0,29.3,78.2,0.5
229,Williams Middle School,Florida,Public,Middle,20918.3,50.5,23.6,68.8,11.8,83.9,6.69
230,Harper Elementary School,Illinois,Charter,Elementary,13852.19,53.8,10.6,13.5,42.8,62.6,2.1
231,Robertson Elementary School,California,Private,Elementary,23073.35,62.3,23.9,19.9,46.8,99.2,0.5
232,Martinez Elementary School,Illinois,Charter,Elementary,14567.8,46.8,16.6,20.4,76.8,62.3,3.23
233,Moore High School,Michigan,Charter,Middle,8480.82,40.0,25.6,36.5,78.5,74.1,5.78
234,Martinez High School,Florida,Private,High,14946.91,45.0,25.1,64.5,94.2,77.0,8.97
235,Meyer Middle School,California,Charter,Middle,7547.66,43.2,14.4,45.0,29.1,83.8,3.75
236,Reynolds Middle School,Florida,Public,Middle,22070.74,57.5,25.7,11.3,32.1,72.6,1.73
237,Jones High School,Pennsylvania,Public,High,22237.67,53.2,11.0,45.8,74.2,76.0,3.46
238,Pham Elementary School,Florida,Private,High,17741.01,40.0,29.2,79.9,27.6,51.7,13.3
239,Garcia Middle School,Illinois,Public,High,20007.31,57.8,20.2,42.3,45.4,97.7,2.52
240,Cantrell Elementary School,Michigan,Public,Middle,9137.27,40.2,14.9,28.3,82.7,64.4,7.3
241,Fleming High School,Texas,Private,Elementary,14936.28,40.0,18.6,80.6,75.6,68.3,11.38
242,Whitney Middle School,New York,Public,High,12748.31,48.1,22.6,10.5,8.7,62.1,2.32
243,Moran Elementary School,Michigan,Private,Middle,21663.2,42.7,19.7,81.3,20.7,67.8,10.83
244,Finley Middle School,New York,Private,Middle,8507.94,40.0,21.1,88.9,34.4,71.8,9.2
245,Jones Elementary School,Texas,Private,High,13648.08,48.6,26.4,83.7,49.8,88.8,9.49
246,Patton High School,Georgia,Private,Middle,5291.51,40.0,20.0,15.5,38.8,53.7,5.73
247,Carter High School,North Carolina,Charter,High,11431.13,40.0,29.3,68.4,31.9,53.3,11.15
248,Irwin Middle School,Ohio,Charter,High,18887.66,54.6,21.2,55.0,30.3,60.0,4.62
249,Price Elementary School,Texas,Public,Elementary,6314.74,40.0,29.9,59.2,65.5,62.3,10.59
250,Obrien Middle School,California,Public,Elementary,17592.66,49.6,19.9,63.3,34.0,92.0,2.69
251,Hatfield High School,Georgia,Charter,Elementary,17849.84,40.0,17.8,90.8,44.3,61.4,11.73
252,Holden Middle School,North Carolina,Charter,Middle,8801.29,40.0,23.3,61.5,33.5,70.1,10.06
253,Cochran Middle School,Florida,Charter,Middle,17140.7,58.4,13.4,34.6,34.2,54.1,2.93
254,Oneill High School,Georgia,Private,Middle,7322.19,40.0,11.0,75.1,47.9,62.1,8.32
255,Sanchez Middle School,Florida,Private,Middle,18844.58,40.0,28.7,84.0,53.8,57.4,11.93
256,Nicholson Middle School,Georgia,Private,Elementary,21022.55,54.2,22.9,22.8,58.0,52.8,5.1
257,Cox Elementary School,Pennsylvania,Private,High,22150.69,57.4,20.9,44.6,59.6,72.5,5.88
258,Banks High School,New York,Public,Elementary,24465.35,53.6,20.1,49.8,89.1,67.4,6.64
259,Pitts High School,Ohio,Private,Middle,8791.72,46.8,16.7,31.3,43.3,81.3,4.99
260,Carr High School,Ohio,Private,High,13182.4,49.8,17.2,24.0,85.7,93.2,1.2
261,Carpenter Elementary School,Pennsylvania,Charter,Elementary,21550.7,61.4,18.3,54.0,31.6,93.1,3.36
262,Bell High School,Florida,Private,Middle,5999.14,40.0,24.7,94.6,66.4,88.6,10.09
263,Padilla High School,Georgia,Public,Elementary,13988.66,40.0,29.9,36.6,76.2,66.8,9.71
264,Jones Middle School,New York,Private,Middle,11222.47,40.0,26.2,88.3,5.0,63.9,10.48
265,Freeman High School,Ohio,Private,Middle,19274.69,56.3,10.2,39.6,27.2,50.5,4.01
266,Brady Elementary School,Florida,Charter,High,10844.0,46.0,14.0,33.9,60.7,53.9,5.6
267,Garcia High School,Pennsylvania,Private,High,20789.17,57.8,26.0,39.1,27.9,84.8,2.62
268,Potter High School,Texas,Charter,High,7448.87,50.6,18.2,12.6,40.1,84.6,1.72
269,Estes Middle School,Illinois,Charter,Middle,15829.16,47.9,28.3,59.4,69.3,97.5,7.04
270,Stephens Elementary School,Georgia,Charter,High,16062.64,56.3,25.4,26.9,23.1,92.2,2.56
271,Byrd High School,California,Charter,High,19678.43,51.6,11.7,84.5,59.5,84.4,7.54
