id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent,digital_divide_score,resource_pressure_score,socioeconomic_risk_score,academic_health_score,equity_score,risk_category
20,Townsend Middle School,Pennsylvania,Public,Elementary,13440.79,47.6,16.8,75.1,19.2,85.9,6.15,14.099999999999994,16.8,47.15,41.45,40.40904730192757,Medium Risk
21,Moss Elementary School,Michigan,Charter,Elementary,17500.61,57.3,18.8,37.7,80.3,95.1,2.55,4.900000000000006,18.8,59.0,54.75,59.002611048553916,Medium Risk
22,Johnson Elementary School,Georgia,Public,Elementary,9020.39,43.0,14.0,37.6,36.4,72.4,4.37,27.599999999999994,14.0,37.0,38.63,28.793696334958142,High Risk
23,Ward Middle School,Georgia,Private,Elementary,7094.65,40.0,25.4,53.6,42.5,65.4,9.17,34.599999999999994,25.4,48.05,30.83,10.179582423615912,High Risk
24,Chan Middle School,Michigan,Private,Middle,8923.15,40.0,14.8,58.0,87.4,60.3,9.06,39.7,14.8,72.7,30.939999999999998,13.295881754523043,High Risk
25,Foley Elementary School,Texas,Private,Middle,20187.31,41.8,27.7,63.8,14.3,57.9,7.43,42.1,27.7,39.05,34.37,25.648051905694665,High Risk
26,Vang Elementary School,Illinois,Public,Middle,15223.64,44.3,18.7,34.7,39.8,54.5,6.0,45.5,18.7,37.25,38.3,27.875353271221577,High Risk
27,Johnson High School,Texas,Public,High,21981.75,42.5,25.4,93.7,49.8,59.2,9.78,40.8,25.4,71.75,32.72,24.782764677308812,High Risk
28,West Middle School,Georgia,Private,High,10043.98,40.0,13.1,91.4,23.7,68.5,8.6,31.5,13.1,57.550000000000004,31.4,20.728156234529877,High Risk
29,Gray Elementary School,Georgia,Private,High,12912.16,40.0,24.4,60.9,33.0,61.8,9.23,38.2,24.4,46.95,30.77,16.374573222008074,High Risk
30,Gonzales Elementary School,Texas,Public,Middle,23559.56,68.6,17.4,37.8,27.1,87.4,1.7,12.599999999999994,17.4,32.45,66.89999999999999,82.05506487966798,Low Risk
31,Reed High School,New York,Charter,Middle,15304.77,64.2,21.2,10.8,32.4,76.7,2.09,23.299999999999997,21.2,21.6,62.11,62.51825836947353,Medium Risk
32,Rodriguez High School,Pennsylvania,Public,High,7989.19,41.5,14.4,57.9,87.3,89.4,5.41,10.599999999999994,14.4,72.6,36.09,26.034414799345832,High Risk
33,Wilson High School,Georgia,Charter,High,19374.92,43.6,19.2,82.5,30.7,65.3,8.56,34.7,19.2,56.6,35.04,31.458274233425577,High Risk
34,Barker Middle School,North Carolina,Private,Elementary,18227.52,44.4,22.0,27.1,73.9,56.3,7.56,43.7,22.0,50.5,36.839999999999996,27.658937510574845,High Risk
35,Sanchez Elementary School,Illinois,Private,Elementary,14938.49,41.1,28.7,90.7,60.1,89.3,9.52,10.700000000000003,28.7,75.4,31.580000000000002,23.056742468718106,High Risk
36,Mendoza High School,Illinois,Public,High,13059.74,52.9,14.8,80.5,44.7,93.2,4.68,6.799999999999997,14.8,62.6,48.22,48.668625873325,Medium Risk
37,Chambers Elementary School,Georgia,Public,Elementary,17312.81,53.5,11.2,61.9,69.5,79.8,5.43,20.200000000000003,11.2,65.7,48.07,50.996917882759355,Medium Risk
38,Anderson Middle School,California,Charter,Elementary,9326.02,40.0,16.7,74.3,49.5,67.5,7.85,32.5,16.7,61.9,32.15,17.201331534122744,High Risk
39,Wallace Middle School,North Carolina,Charter,Middle,19531.96,51.7,26.0,28.1,19.7,74.8,5.16,25.200000000000003,26.0,23.9,46.540000000000006,46.97702185805713,Medium Risk
40,Morales Middle School,Georgia,Private,Middle,10648.17,40.0,19.5,93.6,10.2,65.8,10.82,34.2,19.5,51.9,29.18,16.57447202163873,High Risk
41,Rodriguez High School,Pennsylvania,Private,High,19522.7,54.9,12.0,91.1,12.1,73.1,4.99,26.900000000000006,12.0,51.599999999999994,49.91,54.63363406318062,Medium Risk
42,Harrington Middle School,California,Public,Elementary,8089.92,40.0,27.5,60.7,39.3,57.8,11.53,42.2,27.5,50.0,28.47,6.150500443240869,High Risk
43,Moore Middle School,Georgia,Charter,Middle,8623.83,40.0,13.1,93.6,19.8,67.6,9.58,32.400000000000006,13.1,56.699999999999996,30.42,18.44788403096706,High Risk
44,Nelson High School,California,Charter,High,9240.59,52.1,14.7,34.6,84.0,97.0,1.6,3.0,14.7,59.3,50.5,46.48071854327117,Medium Risk
45,Zamora High School,Pennsylvania,Private,High,5025.47,40.0,17.9,54.8,31.3,67.2,5.96,32.8,17.9,43.05,34.04,14.879003778300259,High Risk
46,Stevenson Middle School,California,Charter,High,14815.59,64.2,12.5,14.4,92.1,99.0,0.5,1.0,12.5,53.25,63.7,71.05501843347324,Low Risk
47,Bruce High School,Georgia,Charter,Elementary,7032.22,40.0,22.0,87.8,9.4,71.3,8.84,28.700000000000003,22.0,48.6,31.16,14.193654993624877,High Risk
48,Wilson Elementary School,Ohio,Public,Elementary,11139.07,41.8,19.6,66.3,15.1,72.4,7.75,27.599999999999994,19.6,40.699999999999996,34.05,24.509652294731282,High Risk
49,Lang Elementary School,California,Private,Elementary,21910.63,60.8,20.4,25.7,64.5,70.0,2.2,30.0,20.4,45.1,58.599999999999994,60.84316234784433,Medium Risk
50,Davis Elementary School,Florida,Charter,Middle,8712.23,40.0,28.5,54.1,78.7,80.1,9.12,19.900000000000006,28.5,66.4,30.880000000000003,12.844120696112197,High Risk
51,Young Middle School,Michigan,Private,Middle,10993.24,40.0,17.0,61.3,17.9,57.3,6.44,42.7,17.0,39.599999999999994,33.56,19.140528501769136,High Risk
52,Harris Elementary School,Ohio,Private,Middle,23247.72,64.5,16.2,12.1,64.6,60.8,1.73,39.2,16.2,38.349999999999994,62.77,67.30518819393156,Medium Risk
53,Anderson Middle School,North Carolina,Public,Middle,18681.54,48.2,10.0,87.7,25.6,79.9,5.85,20.099999999999994,10.0,56.650000000000006,42.35,47.886385989034956,Medium Risk
54,Pearson High School,California,Private,Middle,12555.39,40.0,28.7,79.1,50.4,76.2,13.39,23.799999999999997,28.7,64.75,26.61,14.138685972836495,High Risk
55,Petersen Middle School,New York,Private,High,21626.14,54.1,18.1,81.7,50.7,90.9,4.02,9.099999999999994,18.1,66.2,50.08,57.15453430547697,Medium Risk
56,Mann Elementary School,Texas,Private,Middle,7857.37,40.0,16.0,83.1,93.0,54.0,13.07,46.0,16.0,88.05,26.93,5.254040020880948,High Risk
57,Vincent High School,Florida,Private,Elementary,8653.6,40.0,17.2,33.1,69.6,54.9,7.17,45.1,17.2,51.349999999999994,32.83,13.526195467533123,High Risk
58,Campbell Elementary School,Pennsylvania,Charter,Middle,17500.22,63.4,13.8,43.5,93.5,88.6,2.4,11.400000000000006,13.8,68.5,61.0,65.85974309282292,Medium Risk
59,Dickerson Middle School,Ohio,Public,Middle,7090.83,40.0,12.3,79.1,73.7,63.9,9.01,36.1,12.3,76.4,30.990000000000002,13.378471653935586,High Risk
60,Williamson Middle School,Florida,Charter,High,18628.55,53.5,13.6,72.5,83.8,73.3,7.05,26.700000000000003,13.6,78.15,46.45,46.42584286953078,Medium Risk
61,King Elementary School,Illinois,Public,Elementary,11599.39,40.0,15.1,89.1,17.7,61.9,9.13,38.1,15.1,53.4,30.869999999999997,19.419489536300254,High Risk
62,Contreras Elementary School,Pennsylvania,Private,Middle,15336.22,47.5,12.6,69.2,35.4,72.5,7.5,27.5,12.6,52.3,40.0,38.942207943429494,High Risk
63,Schwartz Middle School,Illinois,Charter,Middle,9241.06,40.0,17.9,71.5,86.0,70.9,8.38,29.099999999999994,17.9,78.75,31.619999999999997,15.017618006014661,High Risk
64,Lynch High School,Illinois,Charter,Elementary,15056.81,64.1,14.7,20.4,20.0,88.9,0.5,11.099999999999994,14.7,20.2,63.599999999999994,71.01043987148877,Low Risk
65,Martin Middle School,North Carolina,Charter,Elementary,23787.56,62.6,18.4,40.8,94.8,77.9,3.02,22.099999999999994,18.4,67.8,59.58,65.60924397453546,Medium Risk
66,Rowe High School,New York,Private,High,9839.32,48.4,16.0,55.9,22.4,80.0,4.2,20.0,16.0,39.15,44.199999999999996,37.61423731603681,High Risk
67,Parker Elementary School,Ohio,Charter,Elementary,13670.08,46.0,29.4,45.6,28.8,92.9,3.93,7.099999999999994,29.4,37.2,42.07,36.23138910816921,High Risk
68,Dean Middle School,Georgia,Charter,High,10475.16,51.1,10.2,59.4,46.8,97.4,2.43,2.5999999999999943,10.2,53.099999999999994,48.67,49.91423205873161,Medium Risk
69,Hamilton Middle School,Texas,Private,Middle,6940.05,40.0,23.3,56.2,29.6,67.2,9.76,32.8,23.3,42.900000000000006,30.240000000000002,12.28801288057084,High Risk
70,Wilson Elementary School,Florida,Public,Elementary,9927.3,49.0,26.9,12.3,49.9,94.9,1.88,5.099999999999994,26.9,31.1,47.12,39.473681747476284,High Risk
71,Ward High School,Ohio,Private,Elementary,8114.34,40.0,27.3,28.6,41.3,53.0,8.04,47.0,27.3,34.95,31.96,8.27983413789747,High Risk
72,Mann Elementary School,North Carolina,Public,High,6576.76,40.0,19.3,59.5,35.1,86.9,4.29,13.099999999999994,19.3,47.3,35.71,22.865291900348023,High Risk
73,Anderson Middle School,Pennsylvania,Charter,Middle,7681.0,40.6,11.1,60.3,25.3,79.2,4.29,20.799999999999997,11.1,42.8,36.31,27.573342616380707,High Risk
74,Howard Elementary School,Illinois,Private,High,15499.02,55.6,12.0,88.6,22.4,95.7,1.9,4.299999999999997,12.0,55.5,53.7,59.51995202213312,Medium Risk
75,Powell High School,Illinois,Private,Elementary,8211.36,41.6,20.6,34.9,41.9,72.5,4.25,27.5,20.6,38.4,37.35,22.21906718373929,High Risk
76,Boyd Elementary School,Michigan,Public,High,12311.0,43.5,20.7,27.6,81.7,57.0,7.2,43.0,20.7,54.650000000000006,36.3,20.283526003299468,High Risk
77,Rios High School,Georgia,Public,Elementary,13331.98,41.8,24.3,48.2,11.6,69.7,8.38,30.299999999999997,24.3,29.900000000000002,33.419999999999995,24.60728795542453,High Risk
78,Garcia High School,Pennsylvania,Private,High,24602.03,58.7,13.5,71.2,71.6,73.5,8.98,26.5,13.5,71.4,49.72,59.90963252520228,Medium Risk
79,Scott Elementary School,North Carolina,Public,Elementary,19298.9,65.6,15.1,19.7,16.9,75.5,0.5,24.5,15.1,18.299999999999997,65.1,73.14344191543739,Low Risk
80,Moore High School,Pennsylvania,Private,High,19502.61,60.8,20.3,39.4,35.8,96.4,2.93,3.5999999999999943,20.3,37.599999999999994,57.87,67.98400048102387,Medium Risk
81,Warren High School,Georgia,Public,Middle,20087.92,46.5,16.0,76.4,39.2,50.4,9.7,49.6,16.0,57.800000000000004,36.8,31.837049953692997,High Risk
82,Mendoza High School,California,Public,Middle,6934.67,40.0,28.7,93.3,14.0,98.4,8.46,1.5999999999999943,28.7,53.65,31.54,19.08190486455788,High Risk
83,Mcdonald High School,Illinois,Public,High,23377.05,67.2,19.1,23.1,37.4,90.5,0.5,9.5,19.1,30.25,66.7,81.06540757651815,Low Risk
84,Richardson Middle School,North Carolina,Private,Middle,22787.89,59.1,10.2,80.6,37.2,82.8,4.12,17.200000000000003,10.2,58.9,54.980000000000004,67.34738902504839,Medium Risk
85,Henry Middle School,North Carolina,Private,Elementary,19248.09,40.0,25.8,75.3,11.0,66.4,9.9,33.599999999999994,25.8,43.15,30.1,24.727816074534843,High Risk
86,Nichols High School,Michigan,Charter,Middle,13328.58,62.7,10.3,18.3,46.3,87.2,0.5,12.799999999999997,10.3,32.3,62.2,67.573394245067,Medium Risk
87,Porter High School,Georgia,Private,High,17792.38,44.3,27.9,76.0,92.2,97.5,6.64,2.5,27.9,84.1,37.66,33.67925206737602,High Risk
88,Reynolds Elementary School,Texas,Private,Elementary,23875.89,64.8,14.6,30.9,83.5,78.9,0.5,21.099999999999994,14.6,57.2,64.3,73.55004325581285,Low Risk
89,Ross Middle School,Illinois,Charter,Elementary,21258.7,52.9,11.5,82.4,61.7,64.9,8.13,35.099999999999994,11.5,72.05000000000001,44.769999999999996,47.39764864177456,Medium Risk
90,Johnson Middle School,Illinois,Charter,High,12828.81,40.0,27.2,71.2,82.2,56.8,11.77,43.2,27.2,76.7,28.23,7.6630061836111345,High Risk
91,Tran Elementary School,Georgia,Private,Elementary,22304.35,65.0,11.8,31.8,9.1,59.9,0.88,40.1,11.8,20.45,64.12,71.9174021661279,Low Risk
92,Thompson High School,Pennsylvania,Private,Middle,21671.06,65.8,16.6,13.1,18.0,75.1,0.5,24.900000000000006,16.6,15.55,65.3,75.51120198174071,Low Risk
93,Floyd Middle School,Michigan,Charter,High,9254.95,53.1,16.0,19.9,9.8,90.4,0.6,9.599999999999994,16.0,14.85,52.5,51.283132149300194,Medium Risk
94,Ellis Elementary School,Illinois,Private,High,13014.56,47.3,16.2,82.8,60.7,97.5,5.82,2.5,16.2,71.75,41.48,40.66279166203786,Medium Risk
95,Clark Elementary School,Illinois,Charter,High,22655.31,52.0,26.4,11.1,82.8,75.4,3.3,24.599999999999994,26.4,46.949999999999996,48.7,48.58388236192966,Medium Risk
96,Porter Middle School,North Carolina,Charter,Middle,15320.99,40.0,12.9,80.4,80.1,63.5,10.74,36.5,12.9,80.25,29.259999999999998,21.118647574291916,High Risk
97,Barnes High School,New York,Public,Elementary,9815.54,40.0,23.8,66.9,21.4,67.9,10.65,32.099999999999994,23.8,44.150000000000006,29.35,15.000722351127367,High Risk
98,Rhodes High School,Pennsylvania,Public,Elementary,7179.17,40.0,26.9,75.2,23.3,87.0,8.76,13.0,26.9,49.25,31.240000000000002,16.924389411542204,High Risk
99,Jackson High School,Michigan,Public,Elementary,10909.43,54.0,21.9,24.7,43.5,95.9,2.41,4.099999999999994,21.9,34.1,51.59,49.31991344009767,Medium Risk
100,Richardson Elementary School,New York,Charter,High,18018.42,65.1,10.1,26.5,11.2,92.9,0.5,7.099999999999994,10.1,18.85,64.6,79.90246967870031,Low Risk
101,Robinson High School,California,Public,Middle,21416.89,53.8,18.9,54.6,63.4,77.0,6.69,23.0,18.9,59.0,47.11,51.055666637174454,Medium Risk
102,Cardenas Middle School,Pennsylvania,Public,High,22558.79,72.5,10.7,49.6,22.6,86.1,0.5,13.900000000000006,10.7,36.1,72.0,89.12886098787519,Low Risk
103,Anderson High School,Pennsylvania,Charter,Elementary,21093.21,47.5,10.4,94.5,76.1,66.3,9.5,33.7,10.4,85.3,38.0,39.265924244570314,High Risk
104,Castro Middle School,Georgia,Public,Elementary,10283.84,40.5,18.7,47.7,50.7,57.6,8.38,42.4,18.7,49.2,32.12,15.85106301615179,High Risk
105,Perez Middle School,Florida,Public,High,8959.61,40.0,27.4,47.1,14.5,74.5,5.77,25.5,27.4,30.8,34.230000000000004,18.257323144459725,High Risk
106,Dougherty High School,Florida,Private,Middle,14311.95,50.5,22.4,16.1,66.3,77.8,4.1,22.200000000000003,22.4,41.2,46.4,40.66349938758021,Medium Risk
107,Allen High School,California,Charter,High,21306.52,53.5,20.2,59.3,60.5,89.2,3.09,10.799999999999997,20.2,59.9,50.41,55.534771548704846,Medium Risk
108,Parker Elementary School,Michigan,Charter,Middle,6850.98,40.0,26.1,14.4,90.0,59.4,6.28,40.6,26.1,52.2,33.72,8.133225664577672,High Risk
109,Davis High School,North Carolina,Private,Elementary,20832.55,66.6,21.1,23.5,64.7,91.8,2.12,8.200000000000003,21.1,44.1,64.47999999999999,74.03148711590026,Low Risk
110,Matthews High School,Pennsylvania,Charter,Middle,7203.75,40.0,22.2,65.0,49.4,58.6,10.78,41.4,22.2,57.2,29.22,7.806963782344763,High Risk
111,Serrano Elementary School,Florida,Public,Middle,24516.83,56.7,11.0,85.7,63.4,65.9,8.85,34.099999999999994,11.0,74.55,47.85,55.79257831239286,Medium Risk
112,King Elementary School,New York,Public,Middle,15111.72,43.0,25.9,35.5,25.5,55.5,7.35,44.5,25.9,30.5,35.65,22.664508561605768,High Risk
113,Sandoval High School,Texas,Public,Elementary,21290.9,50.1,24.2,19.3,61.0,57.3,4.48,42.7,24.2,40.15,45.620000000000005,40.07880275097949,Medium Risk
114,Mack Middle School,North Carolina,Charter,Middle,23726.88,60.7,14.1,36.1,35.0,79.2,1.13,20.799999999999997,14.1,35.55,59.57,71.46517956281701,Low Risk
115,White High School,Michigan,Charter,High,20476.62,59.4,14.3,70.9,52.8,92.3,3.54,7.700000000000003,14.3,61.85,55.86,65.81422560429603,Medium Risk
116,Campbell High School,Michigan,Charter,High,23693.55,56.6,15.8,86.4,46.1,88.9,5.54,11.099999999999994,15.8,66.25,51.06,62.55793561645866,Medium Risk
117,Williams Elementary School,Pennsylvania,Private,Elementary,17265.5,59.8,22.8,25.2,83.8,99.9,2.64,0.09999999999999432,22.8,54.5,57.16,61.72622979063378,Medium Risk
118,Lewis High School,California,Public,Middle,8966.89,47.1,13.7,40.8,92.6,87.4,2.98,12.599999999999994,13.7,66.69999999999999,44.120000000000005,35.64340098985977,High Risk
119,Joseph Elementary School,Georgia,Public,High,23643.31,57.4,22.5,41.8,94.6,58.1,7.61,41.9,22.5,68.19999999999999,49.79,47.71459321337726,Medium Risk
120,Romero High School,Texas,Private,Middle,8508.05,40.0,18.6,49.5,14.2,69.1,4.87,30.900000000000006,18.6,31.85,35.13,21.209028219613533,High Risk
121,Acosta Elementary School,Georgia,Charter,High,22585.27,40.0,22.3,68.2,82.0,50.8,12.02,49.2,22.3,75.1,27.98,19.828829023269837,High Risk
122,Miller High School,North Carolina,Charter,High,13726.37,52.1,12.6,47.3,21.4,72.2,3.3,27.799999999999997,12.6,34.349999999999994,48.800000000000004,46.977085064454805,Medium Risk
123,Roth High School,Ohio,Public,Elementary,13895.47,44.4,21.3,35.7,84.8,66.1,5.86,33.900000000000006,21.3,60.25,38.54,25.859047515462674,High Risk
124,Hardy High School,California,Public,Middle,24831.12,56.1,17.4,81.2,80.7,63.3,8.36,36.7,17.4,80.95,47.74,50.15155946558654,Medium Risk
125,Salinas High School,Florida,Public,High,22279.35,59.6,16.1,58.7,58.7,72.7,4.64,27.299999999999997,16.1,58.7,54.96,60.246437085521436,Medium Risk
126,Lawrence High School,Ohio,Private,Elementary,23941.09,48.6,28.1,56.5,26.8,52.8,9.21,47.2,28.1,41.65,39.39,35.163164209333246,High Risk
127,Dennis Elementary School,Pennsylvania,Private,Middle,8738.09,40.0,24.9,93.7,39.8,69.5,13.45,30.5,24.9,66.75,26.55,9.284536566134891,High Risk
128,Martin High School,Illinois,Public,High,8058.53,40.0,16.5,41.7,56.6,53.2,7.33,46.8,16.5,49.150000000000006,32.67,12.884369166598955,High Risk
129,Bennett High School,North Carolina,Public,High,23776.86,52.6,20.4,45.4,11.0,55.3,5.85,44.7,20.4,28.2,46.75,48.563772841027514,Medium Risk
130,Reid High School,Florida,Charter,Elementary,24278.72,62.0,12.4,33.1,56.4,72.6,0.5,27.400000000000006,12.4,44.75,61.5,71.3981950688067,Low Risk
131,Cunningham Elementary School,Texas,Private,Middle,21151.04,50.0,20.3,77.4,94.0,87.1,6.35,12.900000000000006,20.3,85.7,43.65,45.24578609424154,Medium Risk
132,Collier Middle School,Ohio,Charter,High,8188.12,40.0,29.4,62.2,6.1,84.1,7.25,15.900000000000006,29.4,34.15,32.75,18.409820267059814,High Risk
133,Wood Middle School,Pennsylvania,Charter,High,17062.45,40.0,23.0,77.9,21.1,50.4,10.39,49.6,23.0,49.5,29.61,17.16267291562335,High Risk
134,Estes Middle School,New York,Charter,Middle,15863.7,41.7,14.9,63.9,80.4,58.3,10.36,41.7,14.9,72.15,31.340000000000003,22.159717897148536,High Risk
135,Gregory Middle School,Texas,Private,High,21222.37,63.0,15.2,11.7,28.7,84.1,0.5,15.900000000000006,15.2,20.2,62.5,74.85227598901547,Low Risk
136,Mcknight Middle School,Texas,Public,Middle,8611.18,40.0,25.8,88.2,75.8,96.2,10.66,3.799999999999997,25.8,82.0,29.34,17.0248664125628,High Risk
137,Rhodes High School,Georgia,Public,Elementary,22326.19,49.3,25.1,81.6,19.0,70.2,9.05,29.799999999999997,25.1,50.3,40.25,40.79749975470329,Medium Risk
138,Anderson Middle School,Ohio,Charter,Elementary,15356.64,42.6,26.2,86.7,28.0,76.9,9.83,23.099999999999994,26.2,57.35,32.77,24.88056101482269,High Risk
139,Bridges Middle School,California,Charter,High,6458.54,40.0,18.1,86.2,79.2,64.9,10.5,35.099999999999994,18.1,82.7,29.5,8.096485528009945,High Risk
140,Kim High School,Ohio,Private,Elementary,11620.99,57.0,25.3,55.5,68.8,98.9,4.29,1.0999999999999943,25.3,62.15,52.71,48.16408079764071,Medium Risk
141,Fisher Elementary School,Michigan,Public,Elementary,22278.46,51.8,22.2,39.9,59.0,53.4,9.35,46.6,22.2,49.45,42.449999999999996,39.633186286736404,High Risk
142,Williams Middle School,New York,Private,Elementary,20737.9,41.3,15.1,86.8,94.1,63.2,7.61,36.8,15.1,90.44999999999999,33.69,27.603573952676115,High Risk
143,Martin Middle School,North Carolina,Private,Elementary,17928.65,40.0,26.1,36.3,19.6,56.0,5.51,44.0,26.1,27.95,34.49,23.492236452211095,High Risk
144,Garcia Elementary School,Georgia,Private,Middle,19652.98,48.9,21.0,59.1,62.2,66.1,7.02,33.900000000000006,21.0,60.650000000000006,41.879999999999995,37.6375129485919,High Risk
145,Summers Elementary School,Florida,Public,Middle,17131.1,45.9,12.4,84.1,47.6,76.5,6.94,23.5,12.4,65.85,38.96,38.941949444188545,High Risk
146,Foster Elementary School,Florida,Charter,Middle,14572.64,40.0,15.5,78.9,58.9,56.9,10.73,43.1,15.5,68.9,29.27,18.03306715416274,High Risk
147,Sandoval Elementary School,Michigan,Private,Elementary,24309.49,50.7,19.9,80.9,70.5,76.6,8.7,23.400000000000006,19.9,75.7,42.0,46.67903295201932,Medium Risk
148,Sanders Middle School,California,Public,Elementary,7146.62,40.0,22.6,82.3,32.4,95.9,6.7,4.099999999999994,22.6,57.349999999999994,33.3,22.26639430783107,High Risk
149,Cooper High School,Pennsylvania,Charter,Middle,19270.47,56.5,10.5,90.9,50.4,78.7,7.08,21.299999999999997,10.5,70.65,49.42,55.53538986179906,Medium Risk
150,Cunningham High School,Florida,Private,High,12573.85,40.0,29.5,45.4,69.1,72.5,9.9,27.5,29.5,57.25,30.1,15.019032668170231,High Risk
151,Lara Elementary School,Michigan,Private,Middle,9205.86,40.2,29.3,45.0,35.5,90.1,6.36,9.900000000000006,29.3,40.25,33.84,21.529230408661746,High Risk
152,Newman High School,Illinois,Charter,Middle,23583.79,40.9,24.5,72.0,50.6,53.3,12.41,46.7,24.5,61.3,28.49,23.41859171283935,High Risk
153,Friedman Middle School,California,Charter,High,18367.64,40.0,25.6,71.0,72.6,60.9,11.49,39.1,25.6,71.8,28.509999999999998,17.233406315051873,High Risk
154,Ramos Middle School,Florida,Private,High,5445.04,40.0,18.4,58.1,41.4,65.1,6.97,34.900000000000006,18.4,49.75,33.03,12.965792341176279,High Risk
155,Miller Elementary School,California,Public,High,17055.54,49.0,23.6,74.2,82.7,99.4,7.3,0.5999999999999943,23.6,78.45,41.7,42.21319889135146,Medium Risk
156,Wells High School,Florida,Charter,Elementary,24789.13,77.3,17.3,51.4,15.0,99.5,0.5,0.5,17.3,33.2,76.8,98.82513070424012,Low Risk
157,Carr Middle School,North Carolina,Public,Middle,23950.2,71.2,11.2,27.4,80.8,89.0,0.5,11.0,11.2,54.099999999999994,70.7,87.37411533991437,Low Risk
158,Richmond Middle School,California,Charter,High,14361.85,49.6,16.2,93.3,88.8,96.5,8.63,3.5,16.2,91.05,40.97,40.75877292224222,Medium Risk
159,Hernandez High School,Pennsylvania,Public,Middle,20297.82,58.4,24.8,25.0,78.0,95.0,0.5,5.0,24.8,51.5,57.9,62.04440992927959,Medium Risk
160,Williams High School,Ohio,Charter,Middle,9745.76,40.0,10.7,74.7,44.4,56.7,6.63,43.3,10.7,59.55,33.37,18.283316997269793,High Risk
161,Vaughan Middle School,Georgia,Public,Middle,11671.8,40.0,29.8,77.7,13.8,94.5,6.58,5.5,29.8,45.75,33.42,24.51905870211118,High Risk
162,White Elementary School,Pennsylvania,Private,High,19901.98,52.4,19.5,83.1,36.1,97.0,4.9,3.0,19.5,59.599999999999994,47.5,54.90110099163482,Medium Risk
